treatment, Dataset Size, training accuracy, test accuracy
480p model, 89, 0.36120402812957764, 0.22135642170906067
480p model, 89, 0.3177257478237152, 0.21269841492176056
480p model, 89, 0.31605350971221924, 0.19826839864253998
480p model, 89, 0.32608696818351746, 0.21327561140060425
480p model, 89, 0.3411371111869812, 0.23001442849636078
480p model, 178, 0.2028985470533371, 0.1699855625629425
480p model, 178, 0.2278582900762558, 0.18066377937793732
480p model, 178, 0.21819645166397095, 0.1818181872367859
480p model, 178, 0.22705313563346863, 0.18932178616523743
480p model, 178, 0.2053140103816986, 0.17344877123832703
480p model, 267, 0.19733333587646484, 0.18672437965869904
480p model, 267, 0.20000000298023224, 0.18816739320755005
480p model, 267, 0.2207999974489212, 0.1910533905029297
480p model, 267, 0.19573333859443665, 0.16911977529525757
480p model, 267, 0.18559999763965607, 0.17893217504024506
480p model, 356, 0.22683705389499664, 0.20981240272521973
480p model, 356, 0.22444088757038116, 0.20490621030330658
480p model, 356, 0.18809904158115387, 0.16911977529525757
480p model, 356, 0.20327475666999817, 0.18701298534870148
480p model, 356, 0.2068690061569214, 0.17633478343486786
480p model, 445, 0.2389295995235443, 0.22106781601905823
480p model, 445, 0.25294679403305054, 0.23838384449481964
480p model, 445, 0.25581395626068115, 0.22914862632751465
480p model, 445, 0.26696398854255676, 0.24848484992980957
480p model, 445, 0.24179674685001373, 0.21587301790714264
480p model, 534, 0.2307080328464508, 0.22539682686328888
480p model, 534, 0.24821002781391144, 0.23232322931289673
480p model, 534, 0.22726067900657654, 0.21529582142829895
480p model, 534, 0.22089631855487823, 0.20663779973983765
