step, end transition step, games found, time elapsed
9, 42, 53, 2677.822385787964
2, 30, 54, 5913.072074651718
2, 60, 47, 4113.483358383179
5, 150, 32, 2052.8246178627014
7, 30, 57, 1840.464724779129
10, 33, 50, 1717.1513419151306
14, 37, 30, 1560.2228600978851
3, 150, 31, 2468.871677875519
4, 30, 46, 1972.420886039734
2, 100, 44, 3094.5392994880676
9, 37, 50, 3062.8318543434143
5, 33, 56, 3308.1425580978394
6, 50, 59, 2671.8813920021057
12, 30, 49, 2265.715177297592
5, 30, 56, 2555.4984164237976
