letter, width, height
p, 12, 19
i, 5, 18
 , 8, 14
s, 12, 14
s, 12, 14
l, 6, 18
e, 12, 14
a, 12, 14
k, 12, 19
P, 13, 20
e, 12, 14
n, 12, 14
g, 12, 19
w, 15, 14
i, 4, 18
n, 12, 14
p, 11, 19
o, 12, 14
k, 9, 19
i, 5, 19
a, 12, 14
o, 12, 14
c, 12, 14
S, 14, 19
y, 11, 17
a, 12, 14
n, 11, 14
n, 12, 14
e, 12, 14
H, 15, 17
i, 4, 17
m, 16, 15
i, 5, 18
c, 11, 14
a, 12, 14
n, 10, 14
e, 12, 14
R, 15, 20
o, 10, 15
s, 11, 16
s, 10, 17
P, 14, 21
a, 11, 13
l, 6, 20
C, 14, 20
O, 15, 16
R, 14, 20
P, 13, 19
S, 13, 18
E, 13, 19
g, 13, 20
e, 11, 16
e, 10, 16
n, 9, 14
e, 11, 14
l, 5, 17
l, 4, 17
y, 13, 21
a, 12, 14
a, 12, 14
y, 9, 17
l, 4, 17
e, 12, 14
y, 11, 17
b, 12, 18
r, 7, 15
0, 10, 19
0, 11, 18
d, 11, 20
B, 15, 19
l, 4, 17
e, 12, 14
s, 12, 14
s, 12, 14
i, 4, 18
o, 12, 14
u, 12, 14
s, 12, 14
B, 12, 18
o, 12, 14
b, 12, 17
a, 12, 14
B, 13, 18
r, 6, 14
i, 5, 17
z, 12, 14
z, 12, 14
y, 9, 18
n, 12, 14
e, 12, 14
B, 14, 18
l, 5, 17
a, 12, 14
u, 12, 14
s, 12, 14
t, 5, 17
o, 12, 14
i, 5, 18
s, 12, 14
e, 12, 14
S, 13, 18
m, 16, 14
a, 12, 14
j, 6, 22
o, 12, 14
r, 8, 14
l, 6, 19
i, 5, 19
l, 4, 17
p, 12, 18
p, 12, 18
J, 11, 19
a, 12, 14
g, 12, 18
m, 16, 14
e, 12, 14
e, 12, 14
t, 7, 18
O, 15, 18
z, 9, 14
z, 10, 14
a, 12, 14
W, 21, 18
o, 11, 14
r, 6, 14
l, 4, 17
d, 11, 18
V, 16, 19
o, 11, 13
n, 10, 15
d, 10, 19
i, 3, 17
l, 4, 17
l, 4, 18
T, 14, 18
o, 12, 14
a, 12, 14
s, 12, 14
t, 7, 17
I, 4, 18
l, 3, 19
h, 9, 19
a, 12, 14
n, 12, 14
p, 11, 19
i, 6, 18
 , 9, 18
s, 12, 14
s, 12, 14
 , 8, 18
l, 5, 17
e, 12, 14
a, 12, 14
k, 12, 19
m, 16, 14
a, 12, 14
i, 4, 17
a, 12, 14
R, 15, 19
e, 12, 14
d, 12, 18
P, 12, 18
e, 12, 14
n, 12, 14
g, 12, 18
w, 15, 14
i, 4, 17
n, 12, 14
