conv_size, conv_stride, early_merge, embedding_dim, end_breadth, end_depth, lr, lstm_breadth, lstm_depth, pool_1, pool_2, training accuracy, test accuracy
7, 4, 1, 256, 64, 4, 0.000603163258841895, 1024, 2, 0, 0, 0.11973525583744049, 0.11779141426086426
5, 2, 1, 256, 128, 4, 0.0019654681812681487, 1024, 1, 1, 0, 0.128158837556839, 0.11926380544900894
10, 2, 1, 256, 1024, 3, 0.0008865911130671968, 256, 2, 1, 0, 0.17448857426643372, 0.12515337765216827
7, 4, 1, 256, 64, 1, 0.002217248892783036, 128, 2, 1, 0, 0.3333333432674408, 0.20269939303398132
12, 3, 1, 256, 128, 2, 0.0025392036904283706, 1024, 2, 0, 0, 0.16305655241012573, 0.12564417719841003
4, 2, 1, 256, 128, 3, 0.0004776266216588781, 512, 1, 1, 1, 0.14584259688854218, 0.09426751732826233
9, 4, 0, 256, 256, 4, 0.0005630054775885984, 1024, 1, 1, 0, 0.5500222444534302, 0.2165605127811432
11, 3, 0, 64, 512, 5, 0.0006888463643989917, 64, 1, 0, 0, 0.12183192372322083, 0.09872611612081528
4, 2, 1, 128, 128, 1, 0.0018212079847105768, 256, 1, 0, 0, 0.328145831823349, 0.12547770142555237
4, 4, 0, 256, 512, 5, 0.00024592662600034573, 128, 2, 1, 0, 0.1694086194038391, 0.13312101364135742
