Dataset Size, training accuracy, test accuracy
29, 0.7411167621612549, 0.12420382350683212
59, 0.709601879119873, 0.1802547723054886
89, 0.6872110962867737, 0.20063693821430206
118, 0.7299185395240784, 0.2044585943222046
148, 0.7362736463546753, 0.22038216888904572
178, 0.7138554453849792, 0.2407643347978592
207, 0.7275682687759399, 0.24331210553646088
237, 0.6903409361839294, 0.2611464858055115
267, 0.6582914590835571, 0.26878979802131653
297, 0.5953757166862488, 0.2681528627872467
29, 0.817258894443512, 0.1324840784072876
29, 0.817258894443512, 0.11719745397567749
29, 0.8020304441452026, 0.13184712827205658
29, 0.7868020534515381, 0.12292993813753128
59, 0.5761123895645142, 0.16687898337841034
59, 0.7166276574134827, 0.17261146008968353
59, 0.7798594832420349, 0.1713375747203827
59, 0.7704917788505554, 0.17388534545898438
89, 0.7072418928146362, 0.19108280539512634
89, 0.7534668445587158, 0.2019108235836029
89, 0.7211093902587891, 0.19235669076442719
89, 0.7257319092750549, 0.20318470895290375
118, 0.7357392311096191, 0.22738853096961975
118, 0.7799767255783081, 0.22101910412311554
118, 0.7380675077438354, 0.20573247969150543
118, 0.7415599822998047, 0.2108280211687088
148, 0.7326732873916626, 0.22420382499694824
148, 0.7092709541320801, 0.23439490795135498
148, 0.7236723899841309, 0.217197448015213
148, 0.7596759796142578, 0.2286624163389206
178, 0.7123494148254395, 0.2382165640592575
178, 0.7364457845687866, 0.22547771036624908
178, 0.6935241222381592, 0.22484076023101807
178, 0.6912650465965271, 0.25095540285110474
207, 0.7015604972839355, 0.2585987150669098
207, 0.6885565519332886, 0.2382165640592575
207, 0.7015604972839355, 0.2598726153373718
207, 0.7197659015655518, 0.25796177983283997
237, 0.7011363506317139, 0.2802547812461853
237, 0.6829545497894287, 0.2675159275531769
237, 0.6363636255264282, 0.2617834508419037
237, 0.6943181753158569, 0.28917196393013
267, 0.6874371767044067, 0.28535032272338867
267, 0.7005025148391724, 0.2732484042644501
267, 0.6788944602012634, 0.265605092048645
267, 0.6718593239784241, 0.26369425654411316
297, 0.5744775533676147, 0.2560509443283081
297, 0.5535793900489807, 0.2738853394985199
297, 0.5562472343444824, 0.2611464858055115
297, 0.580702543258667, 0.2611464858055115
